name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits
scikit-learn__scikit-learn-12973,0.13193125,8,,
django__django-11749,0.109237,8,,
django__django-15127,0.15441774999999996,18,,
django__django-11119,0.07284924999999999,8,,
django__django-16612,0.09346825000000002,8,,
psf__requests-5414,0.17298425,11,,
django__django-16429,0.10456950000000001,9,,
pytest-dev__pytest-7521,0.13530899999999998,14,,
mwaskom__seaborn-3069,0.34745675,28,,
sympy__sympy-23413,0.45988600000000013,20,,
django__django-13590,0.07235775,9,,
django__django-15629,0.8560979999999999,37,,
sympy__sympy-13031,0.1046765,10,,
astropy__astropy-14369,0.22588750000000002,13,,
sphinx-doc__sphinx-9658,0.16137450000000003,15,,
django__django-15503,0.20625774999999996,14,,
pydata__xarray-7233,0.11486825000000002,10,,
django__django-11133,0.08114600000000001,8,,
matplotlib__matplotlib-21568,0.07501250000000001,6,,
psf__requests-1142,0.34960325000000003,25,,
pydata__xarray-3677,0.15020925000000002,11,,
django__django-16595,0.11822125,12,,
django__django-17084,0.5671597500000002,37,,
sympy__sympy-12489,0.37150374999999997,19,,
django__django-16938,0.11914125000000002,11,,
scikit-learn__scikit-learn-15100,0.11943375,10,,
matplotlib__matplotlib-23476,0.18625750000000002,16,,
django__django-16502,0.11572525,12,,
django__django-14631,0.233739,21,,
sympy__sympy-13877,0.35975175000000004,21,,
scikit-learn__scikit-learn-13779,0.11336675,11,,
matplotlib__matplotlib-24177,0.34241975,24,,
django__django-15252,0.1549625,16,,
django__django-11066,0.04988050000000001,6,,
django__django-14170,0.12260850000000001,15,,
django__django-16082,0.09787550000000002,10,,
django__django-15467,0.08808325,9,,
django__django-16256,0.18646175,15,,
django__django-13741,0.07867350000000001,10,,
django__django-11815,0.1480415,15,,
django__django-13925,0.16953500000000002,13,,
django__django-11276,0.18147575,14,,
scikit-learn__scikit-learn-13135,0.08593450000000001,9,,
sympy__sympy-22456,0.16906249999999998,12,,
sympy__sympy-18199,0.15228425,12,,
astropy__astropy-13033,0.09009775,9,,
scikit-learn__scikit-learn-11578,0.08900025,8,,
django__django-11163,0.07254075,9,,
scikit-learn__scikit-learn-11310,0.088343,9,,
sphinx-doc__sphinx-8459,0.14621875,14,,
